N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
147,한화시스템,"12,650",300,+2.43%,"5,000","13,944","110,230",1.92,"1,020,791",17.92,8.15,
148,F&F,"90,200",500,-0.55%,500,"13,891","15,400",10.14,"65,796",13.51,25.13,
149,더블유게임즈,"75,100",500,-0.66%,500,"13,799","18,375",15.37,"102,501",13.08,18.93,
150,영원무역,"31,050",950,+3.16%,500,"13,759","44,311",22.88,"210,582",9.77,9.82,
151,한화생명,"1,565",5,-0.32%,"5,000","13,592","868,530",7.58,"3,700,637",8.07,0.51,
152,SK디스커버리,"71,100","1,400",+2.01%,"5,000","13,536","19,038",9.89,"354,154",5.53,11.52,
153,KODEX 종합채권(AA-이상)액티브,"110,470",75,+0.07%,0,"13,444","12,170",0.00,"16,721",N/A,N/A,
154,대웅제약,"116,000",500,-0.43%,"2,500","13,440","11,587",4.96,"81,097",-542.06,4.34,
155,아이에스동서,"42,850",450,-1.04%,500,"13,237","30,893",5.32,"92,537",22.66,6.10,
156,현대백화점,"56,400",400,+0.71%,"5,000","13,199","23,402",18.34,"261,170",10.43,4.64,
157,KCC,"148,500","1,500",+1.02%,"5,000","13,196","8,886",13.54,"59,211",-626.58,-4.37,
158,KODEX 삼성그룹,"7,675",25,+0.33%,0,"13,094","170,600",0.03,"180,990",N/A,N/A,
159,두산솔루스,"42,700",300,-0.70%,100,"13,062","30,590",8.26,"336,496",94.68,N/A,
160,KG동부제철,"12,700",800,+6.72%,"5,000","12,701","100,009",0.13,"279,580",13.24,-7.44,
161,지누스,"87,800",700,+0.80%,500,"12,649","14,407",18.82,"54,211",15.98,26.32,
162,한전KPS,"27,900",50,+0.18%,200,"12,555","45,000",14.32,"141,248",7.90,14.98,
163,메리츠금융지주,"9,330",50,+0.54%,500,"12,503","134,011",7.89,"37,227",3.09,15.26,
164,녹십자홀딩스,"26,500",350,-1.30%,500,"12,462","47,028",7.09,"194,834",37.64,0.37,
165,파미셀,"20,750",150,+0.73%,500,"12,441","59,959",7.04,"1,153,025",203.43,8.78,
166,SK네트웍스,"4,975",45,-0.90%,"2,500","12,347","248,188",12.12,"1,222,102",-42.16,-5.85,
167,현대미포조선,"30,500",200,+0.66%,"5,000","12,182","39,942",13.17,"146,563",20.39,2.31,
168,TIGER 단기통안채,"100,660",5,0.00%,0,"12,023","11,944",6.10,"1,681",N/A,N/A,
169,대우건설,"2,865",50,-1.72%,"5,000","11,908","415,623",10.58,"4,020,308",6.48,8.80,
